file,duration_sec,sampling_rate,dataset,speaker_id,environment,text
librispeech_subset_wav\sample_0.wav,3.44,16000,LibriSpeech,5703,clean,BEFORE SHE STARTED TO KEEP HER APPOINTMENT WITH THE SOLICITORS
librispeech_subset_wav\sample_1.wav,12.63,16000,LibriSpeech,1594,clean,AND FANCIED HIS COUNTENANCE WAS NOT ALTOGETHER UNKNOWN TO ME I ASKED HIM SOME QUESTIONS CONCERNING HIS FAMILY AND HIS COUNTRY BUT ALL THE ANSWERS I COULD GET WERE SIGHS AND TEARS I TOOK PITY ON HIM
librispeech_subset_wav\sample_2.wav,14.27,16000,LibriSpeech,2514,clean,THE WEIRDNESS IN WHICH MILLY'S ABSENCE HAD LEFT THEM DEFICIENT SHE MADE IT INDEED EFFECTIVE FOR HIM BY SUDDENLY ADDRESSING HIM YOU KNOW NOTHING SIR BUT NOT THE LEAST LITTLE BIT ABOUT MY FRIEND
librispeech_subset_wav\sample_3.wav,2.73,16000,LibriSpeech,441,clean,YOU'VE BEEN JAWIN LIKE A LOT A OLD HENS
librispeech_subset_wav\sample_4.wav,14.19,16000,LibriSpeech,163,clean,LET US FINALLY CONFESS IT THAT WHAT IS MOST DIFFICULT FOR US MEN OF THE HISTORICAL SENSE TO GRASP FEEL TASTE AND LOVE WHAT FINDS US FUNDAMENTALLY PREJUDICED AND ALMOST HOSTILE
librispeech_subset_wav\sample_5.wav,9.71,16000,LibriSpeech,1116,clean,AND IT IS OWING TO HER THAT I AM HERE BUT WHAT ARE YOU DOING IN THIS NEST I AM SITTING ON SIX EGGS OF STONE AND I SHALL NOT BE SET FREE TILL THEY ARE HATCHED
librispeech_subset_wav\sample_6.wav,15.63,16000,LibriSpeech,7059,clean,THE TIRELESS MACHINES MARCHED BACK AND FORTH ACROSS THE FLOOR AND THE MEN WHO WATCHED THEM WITH SUICIDAL INTENSITY RAN AFTER THEM BAREFOOTED WHEN THEY MADE OFF WITH A BROKEN THREAD SPLICED IT AND THEN ESCAPED FROM THEM TO THEIR STATIONS AGAIN
librispeech_subset_wav\sample_7.wav,13.48,16000,LibriSpeech,198,clean,BEFORE THE MIDDLE OF THE DAY THEY WERE VISITED BY SIR JOHN AND MISSUS JENNINGS WHO HAVING HEARD OF THE ARRIVAL OF A GENTLEMAN AT THE COTTAGE CAME TO TAKE A SURVEY OF THE GUEST WITH THE ASSISTANCE OF HIS MOTHER IN LAW SIR JOHN WAS NOT LONG IN DISCOVERING
librispeech_subset_wav\sample_8.wav,14.77,16000,LibriSpeech,298,clean,YOU APPEAR TO BE A SENSIBLE DISCREET WOMAN AND SOME WHO HAVE HAD OPPORTUNITIES OF ACQUIRING MORE CORRECT VIEWS MIGHT ENVY YOU YOUR RESPECT FOR KNOWLEDGE AND THE LIGHTS OF SCIENCE ALTHOUGH THE HOUSEKEEPER DID NOT ALTOGETHER COMPREHEND THE OTHER'S MEANING SHE KNEW HE USED A COMPLIMENT
librispeech_subset_wav\sample_9.wav,13.44,16000,LibriSpeech,89,clean,ALARMED BUT NOT DISCOURAGED SHE TRIED IT ANOTHER WAY A BOLT FLEW AND SHE BELIEVED HERSELF SUCCESSFUL BUT HOW STRANGELY MYSTERIOUS THE DOOR WAS STILL IMMOVABLE SHE PAUSED A MOMENT IN BREATHLESS WONDER
librispeech_subset_wav\sample_10.wav,4.11,16000,LibriSpeech,6563,clean,ALL OF WHICH HAVE PROVED THEIR SERVICEABILITY MORE OR LESS CONCLUSIVELY
librispeech_subset_wav\sample_11.wav,13.36,16000,LibriSpeech,5703,clean,BUT AT LEAST IT WAS OBVIOUS THAT SOME ONE MUST BE THERE TO RECEIVE HIS GUESTS NO JULIET WOULD HAVE TO GO ALONE SHE WAS REALLY OLD ENOUGH TO BE TRUSTED BY HERSELF FOR THREE DAYS AND THERE WAS NO NEED THAT SHE COULD SEE
librispeech_subset_wav\sample_12.wav,14.87,16000,LibriSpeech,226,clean,IF YOU STAND TILL MORNING NOW THEN SAID I UNCLOSING MY HAND BUT STILL STANDING BEFORE HIM ASK ME SOME OTHER TIME WHEN YOU CAN SPEAK LIKE A GENTLEMAN RETURNED HE AND HE MADE AN EFFORT TO PASS ME AGAIN
librispeech_subset_wav\sample_13.wav,6.11,16000,LibriSpeech,6476,clean,THEY BEGAN TO FELL TREES FOR THE TIMBERS OF THE SHIP THAT WAS TO MAKE THE VOYAGE TO FAR COLCHIS
