file,duration_sec,sampling_rate,dataset,speaker_id,environment,text
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_43199993.wav,4.5,16000,CommonVoice,02c9eef1805cc4b7c5922f0b816def65ae4c4997f1c332a269a9b635238ef342153a7144ee11ef7192ea1737f70691391909052d754728f56b0c9840aaa9df8d,unknown,"In this phase, the party was based in Eastern Norway."
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_42736613.wav,8.1,16000,CommonVoice,06c3ce6c362cb98ab3d50d2b2c34bdd84e73584e9a7a5a7c4ea4d8297aeda4afeef761f74f4e06741f551faaf9671fc86606a1e3ebda8c5dfbb23656e9b96a3b,unknown,There is also an interchange with the Thousand Islands Parkway on the Ontario side.
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_42798328.wav,6.3,16000,CommonVoice,0f96302cb9d236c534f6608f1b152eeba8ea295b975d829bde366bba47ecd40f594e8cba39e0892ae4c714b1e354a6378ee3c88c75d45d1762597f95768c0aee,unknown,"Five days later, Royal Marines boarded the platform and ended the broadcasting."
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_43204215.wav,8.32,16000,CommonVoice,134e0fd7b344e38bd25fc9ba8acf1372406f2a1099378cdd2a0ee7b1ec56e6ab288c076304782cb76887a9f906d95e45da15ea96b962219ac6df855332d5e185,unknown,"Only a small Greek state became independent in the Balkans, with limited Russian influence."
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_42706055.wav,5.15,16000,CommonVoice,15e07adfee8c774664386125e1b22ed62ade8b32e6720494df56481a5d78c67d1ef9f90d41430d4a60324181fb54350e7b9ae3d9822a32cb5a82f4bcf79e981a,unknown,Knob Noster State Park is nearby.
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_43139615.wav,7.02,16000,CommonVoice,1c45c93748b4fb002a88c7487c95da432d632d2bfdc96b99dda65a1fa1d25a9ae21eadd68de5053a54a93bb9ede37eafac605a25e0fc2bcf096f83ac2ca6ee56,unknown,"Thus, she brought the water to Jamdagni for his rituals of oblation."
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_43196525.wav,5.22,16000,CommonVoice,1db3229ee8d83cd788e1e8d2d620e33bee237e71d7e85661b3a630fc682fe52a77e5a3bdf5e67d7a4f98daf99287233dc5935388c6cd7aa46dd8a4248dca4812,unknown,"Winkler named the element after his country, Germany."
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_42752135.wav,8.68,16000,CommonVoice,1fa92ab97bd0b041f2307b5f6251c873dab1984efc24a1c93342a1ab2bc32ba50176b1a1c95ebd4f24d813ea6668ff7f75c8566ccca9734b6ccad675d8ffc58d,unknown,Okara is sometimes spread on fields as a natural nitrogen fertilizer.
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_42799557.wav,3.24,16000,CommonVoice,2079970dcf2fd88e61e7108614711bf90bcb3d60ce2729b0bc84d54749b932addfce4c2d654b586fc810bc82456c979a1eb8417cd6315053cacb5be95de170c5,unknown,He became proficient in German.
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_43193287.wav,4.43,16000,CommonVoice,271461c947fcaf7ccceb3bcee1321f5ab5cf844ea210ab60915b1c63f2ab99b7a67d39221d595fecb7dde38fb8cc191517f4c10734e48ffe6c16d6fdd35c6370,unknown,Doctor T. S. Lin was then appointed as president of the school.
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_42727108.wav,12.1,16000,CommonVoice,2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88,unknown,"His siblings included Lewis Rudolph, who would later help found Krispy Kreme."
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_42791629.wav,5.51,16000,CommonVoice,33eed3a8d8cdb0250df3ed7deb158a918722be78ce5e786653f6b839739d7a75f4ff5a67e552f5cc7999dd013b6e2eb5f143e4db99470d5af6b4f89b1682245c,unknown,The Red Hill Junior Senior High School is located in Bridgeport.
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_43200118.wav,7.96,16000,CommonVoice,35ee6eb56ad5081dcb8f3fd64fae3d9df7c2e072bfb73a5d954a9892c7cc1f01a9361b978ee94b09048d1ed4e8e6d858358ddbbc075f8fe8eddf2ec34a6597fd,unknown,Just over two years earlier Wilson had challenged Gaitskell for the party leadership.
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_42817051.wav,4.9,16000,CommonVoice,3cb2ef0dae77c9d1bcbed706c3fa924deca9a55f9e21adc6e35e43b262909181a622ceb855033406a9a4afe295467a2ea240491844222f122adffe22c293d45f,unknown,There have been a number of improvements to the campus in recent years.
cv-corpus-22.0-delta-2025-06-20/en\clips\common_voice_en_42805882.wav,5.54,16000,CommonVoice,3ec5458ed7ab1b3c73af190e803c21db1f1a3a4a4e1721955cbc03f760992067d4ac2cd47d63fb9c7011437dc1696910a2dd8be5dc5ed1092f6e4ae1fdf4693e,unknown,The village is about seven miles north of Barnstaple.
